Date,Time,NO,NO2,CO,CO 8hr,O3,O3 8hr,PM2.5,PM10,Wind Speed,Wind Dir,Temperature,RH,Solar Rad,BP,Rain,V Wind Speed
6/28/2013,18:00,3.86,10.59,1.15,1.01,5.87,10.15,11.19,25.23,2.46,75.43,27.09,91.04,22.62,1077.01,0.2,1.64
03/07/2016,24:00:00,,,,,,,,,2.1,32.67,24.53,67.06,7.49,1009.27,,
3/27/2014,24:00:00,11.85,35.09,3.46,3.21,1.9,9.27,123.35,233.22,1.89,75.82,27.15,83.66,7.41,,0.02,
6/25/2015,14:00,191.6,7.19,4.52,4.29,0.72,,13.0,36.0,2.76,66.25,34.07,58.01,600.72,991.89,0.02,
12/15/2015,03:00,197.32,24.41,3.45,3.42,0.36,0.7,203.87,259.89,0.83,287.95,18.26,96.54,7.66,1011.74,,
12/13/2016,07:00,3.83,11.56,2.98,3.8,0.4,0.47,,88.31,0.65,53.09,16.61,93.54,22.77,1011.62,,
7/20/2013,15:00,4.2,5.62,1.62,1.43,7.9,5.0,12.03,,3.26,46.28,32.87,64.19,292.56,1078.84,0.03,2.29
09/02/2018,03:00,3.3,4.44,,,4.5,3.6,6.95,31.67,0.51,87.19,26.38,88.64,7.44,1004.74,0.03,
7/21/2018,09:00,2.59,4.81,,,,,,18.88,2.02,32.02,28.82,87.04,346.64,1000.41,0.02,
7/19/2018,06:00,4.1,3.83,,,,,17.13,46.26,0.61,28.8,29.56,86.34,44.22,998.25,,
8/16/2017,13:00,3.41,2.18,,,,,13.0,45.97,1.3,94.85,29.62,78.71,447.98,1001.29,,
1/14/2015,24:00:00,25.45,28.95,2.31,3.81,0.29,3.04,105.55,290.41,1.5,66.8,18.3,67.58,7.58,1014.44,,
07/01/2016,10:00,54.2,14.43,4.54,4.52,27.93,18.81,49.0,103.48,2.47,57.54,19.26,71.49,403.63,1018.81,1.0,
